y,x,shift,latitude,offense,address,method,longitude,severity
136956,396167,EVENING,38.90045526588440,THEFT/OTHER,1900 - 1999 BLOCK OF PENNSYLVANIA AVENUE NW,OTHERS,-77.04418023822790,1.2
140816.77084811,397907.87282801,EVENING,38.935233647229,THEFT F/AUTO,PRINCETON PLACE NW AND GEORGIA AVENUE NW,OTHERS,-77.02413036428190,1
142226.91001742,392888.11999135,EVENING,38.94791029080680,THEFT F/AUTO,ALBEMARLE STREET NW AND 42ND STREET NW,OTHERS,-77.08204223725970,1
138264,396662,EVENING,38.91223984146710,THEFT/OTHER,1619 - 1699 BLOCK OF 17TH STREET NW,OTHERS,-77.038483446529,1.2
136598,401999,EVENING,38.89723296256280,THEFT/OTHER,600 - 699 BLOCK OF 19TH STREET NE,OTHERS,-76.97694982960060,1.2
137333,401652,EVENING,38.90385643652550,BURGLARY,1050 - 1103 BLOCK OF BLADENSBURG ROAD NE,OTHERS,-76.98094600601310,1.5
133729,398813,EVENING,38.87139111186290,ASSAULT W/DANGEROUS WEAPON,1500 - 1599 BLOCK OF 2ND STREET SW,OTHERS,-77.01366823153940,3
135593,403969,MIDNIGHT,38.88817832562710,BURGLARY,3600 - 3625 BLOCK OF MINNESOTA AVENUE SE,OTHERS,-76.95424630368940,1.5
134636,405989,MIDNIGHT,38.87954212044570,MOTOR VEHICLE THEFT,5000 - 5099 BLOCK OF HANNA PLACE SE,OTHERS,-76.93096819957030,1
139751.79001512,396707.47999490,MIDNIGHT,38.92563629426440,ROBBERY,COLUMBIA ROAD NW AND MOZART PLACE NW,OTHERS,-77.03797045251480,1.2
139582,396934,MIDNIGHT,38.92411642272290,BURGLARY,2600 - 2798 BLOCK OF 15TH STREET NW,OTHERS,-77.03534747598330,1.5
133481,401542,MIDNIGHT,38.86915444532030,MOTOR VEHICLE THEFT,1700 - 1725 BLOCK OF 16TH STREET SE,OTHERS,-76.98222319855150,1
131966,403132,MIDNIGHT,38.85550592406090,BURGLARY,2700 - 2899 BLOCK OF TERRACE ROAD SE,OTHERS,-76.96391225105410,1.5
141800,398041,MIDNIGHT,38.94409666644250,ROBBERY,700  - 799 BLOCK OF WEBSTER STREET NW,GUN,-77.02258777881160,1.2
144888,397654,MIDNIGHT,38.97191358303080,ASSAULT W/DANGEROUS WEAPON,6658  - 6799 BLOCK OF GEORGIA AVENUE NW,KNIFE,-77.02707150993820,3
142480,393945,MIDNIGHT,38.95020694635080,THEFT F/AUTO,4600 - 4699 BLOCK OF 36TH STREET NW,OTHERS,-77.06984718702290,1
142757.74,393945.91,DAY,38.95270007809840,THEFT F/AUTO,4800 - 4899 BLOCK OF 36TH STREET NW,OTHERS,-77.06984432310620,1
137976.41001347,397921.07001202,DAY,38.90964679588490,THEFT/OTHER,P STREET NW AND 9TH STREET NW,OTHERS,-77.023969547549,1.2
141246.94387251,396840.44258702,DAY,38.93910558296570,THEFT F/AUTO,16TH STREET NW AND ARKANSAS AVENUE NW,OTHERS,-77.03644396672490,1
139352,402237,DAY,38.92204013663710,THEFT F/AUTO,2400 - 2499 BLOCK OF 22ND STREET NE,OTHERS,-76.97419558198060,1
133455,403516,DAY,38.86891898563450,THEFT F/AUTO,3200 - 3299 BLOCK OF PENNSYLVANIA AVENUE SE,OTHERS,-76.95947617642490,1
139395,397324,DAY,38.92242944515060,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF CLIFTON STREET NW,OTHERS,-77.03085753309530,1
141663,400887,DAY,38.94286272708910,THEFT/OTHER,1200 - 1217 BLOCK OF VARNUM STREET NE,OTHERS,-76.98975713991710,1.2
140182,397162,DAY,38.92951721944640,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,OTHERS,-77.032729863452,1.2
129258,399950,DAY,38.831111101617,THEFT/OTHER,3910 - 3999 BLOCK OF 4TH STREET SE,OTHERS,-77.00057090103450,1.2
139371,400594,DAY,38.92221699889370,THEFT/OTHER,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,OTHERS,-76.99314018282120,1.2
139835,398728,DAY,38.92639923172420,THEFT/OTHER,100 - 299 BLOCK OF MICHIGAN AVENUE NW,OTHERS,-77.014665830378,1.2
141458.4243847040,402524.7114562960,DAY,38.94101271470440,THEFT F/AUTO,4200 - 4399 BLOCK OF EASTERN AVENUE NE,OTHERS,-76.97087789562680,1
